,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
56801,Registered Nurse (RN) / Licensed Practical Nurse (LPN) - Healthcare Nursing Staff,The Evangelical Lutheran Good Samaritan Society,Daytona Beach,Florida,"

Registered Nurse (RN)
As a Registered Nurse you will be responsible for administering healthcare to ill, injured, convalescent, or disabled patients. You may advise patients on health maintenance and disease prevention or provide case management. 

Additional responsibilities of the Registered Nurse (RN) include:
� Monitoring, recording, and reporting symptoms or changes in patients' conditions
� Maintaining accurate, detailed reports and records
� Recording patients' medical information and vital signs
� Ordering, interpreting, and evaluating diagnostic tests to identify and assess patient's condition
� Modifying patient treatment plans as indicated by patients' responses and conditions

Licensed Practical Nurse (LPN)
As a Licensed Practical Nurse (LPN) you will be responsible for observing patients, charting and reporting changes in patients' conditions, such as adverse reactions to medication or treatment, and taking any necessary action.

Additional responsibilities of the Licensed Practical Nurse (LPN) include:
� Administering prescribed medications or start intravenous fluids, noting times and amounts on patients' charts
� Providing basic patient care or treatments, such as taking temperatures or blood pressures, dressing wounds, treating bedsores, giving enemas or douches, rubbing with alcohol, massaging, or performing catheterizations
� Sterilizing equipment and supplies, using germicides, sterilizer, or autoclave
� Answering patients' calls and determine how to assist them
� Working as part of a healthcare team to assess patient needs, plan and modify care, and implement interventions
",Part-Time,Not Specified
61059,"Registered Nurse - PACU (0.1FTE, Variable Shifts)",Swedish Health,Edmonds,Washington,"Where you work matters!  Swedish is looking for a 0.1FTE Staff RN to work Variable Shifts for the Recovery Department at Swedish/Edmonds in Edmonds, Washington. 

Swedish/Edmonds has an opportunity available for an experienced Staff Registered Nurse.  The Staff RN in the Recovery (PACU) department is responsible for delegating and coordinating all nursing care and for meeting the unit standards of nursing practice. 
In this position you will\: 

Assess, treat, and care for for patients in a variety of age groups 
Serve as a resource for peers and other health care team members concerning routines and procedures 
Communicate with the health care team, patients, and families 
Be responsible for delegation and supervision of personnel which participate in the provision of care to ensure that patient needs and expected treatment outcomes are met 
Participate in orientation and training of new staff members",Part-Time,Associate Degree
40980,Part-Time Automotive Clerk - Southfield,Jack Cooper Transport,Southfield,Michigan,"Job Summary: 
Jack Cooper is the largest auto and truck transportation carriers in the nation. We serve most of the major domestic and foreign automotive manufacturers, delivering vehicles nation-wide to dealerships from plants, rail ramps, ports and auctions; and providing vehicle rail-car loading and unloading services. Over the last 80 years, we&rsquo;ve become well-known for our quality and performance; building a reputation for our dependability and integrity. We have almost 5,000 employees throughout the US, Canada and Mexico; and we are one of the few remaining transport companies with professional Teamster union drivers. 

We have a great opportunity for a Part-Time Automotive Clerk at our Southfield, MI location. We are looking for a dedicated, hard-working individual who wants to develop themselves and grow with our company. The main responsibilities for this position will be to assist the Operations &amp; Transportation departments in the day to day office activities. The ideal candidate should have Auction / Dealership experience along with Excel proficiencies, communication skills, the ability to multi-task, display a high degree of professionalism, and the ability to work in a fast paced environment that is constantly evolving.
&nbsp;&nbsp;
The Ideal candidate will live within the Southfield, MI area.
Part Time &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; $13.00 Hour",Part-Time,Not Specified
77181,"Part Time CLINICAL MANAGER - Home Care Services, Adult",BAYADA HOME HEALTH CARE,Media,Pennsylvania,"Do you want to be part of providing care with the highest professional, ethical, and safety standards? Do you want to use your leadership and mentoring skills to make a difference in people's lives? We're BAYADA Home Health Care and we believe that our clients and their families deserve home health care delivered with compassion, excellence, and reliability. Your important work will help ensure that our clients come first and that our BAYADA caregivers have the support they need to be successful. In this growing and dynamic environment, we offer exciting career paths for nurses like you.We are currently looking for a Part Time Clinical Managers (2 to 3 days a week). Territory to include K ennett Square, Landenburg, West Grove, Avondale, Cochranville areas.  Clinical Managers at BAYADA lead field staff in delivering exceptional client service and quality clinical care while ensuring adherence to policies and procedures. Visiting clients and supervising staff, you'll be accountable for internal case management and evaluation and development of field staff.Conducting client assessments and completing the care planning process, you'll provide clinical insight while supporting the team and educating Clinical Associates to develop into Clinical Managers.Focused on the clinical competency of your staff   * current RN license in good standing* minimum two years recent, verifiable clinical experience (home care and trach/vent/tube a plus)* strong assessment and organizational skills* prior supervisory experience (clinical oversight, recruitment, competency evaluations, etc.)* demonstrated successful track record of working independently while taking on increased or diverse responsibilities* ambition to grow and advance beyond current position* solid communication and PC skills (bilingual in Spanish and English a plus) With more than 280 offices nationwide, the people of BAYADA grow together. From comprehensive in-house orientation and training to ongoing mentoring and precepting, you'll feel the difference higher standards make. To learn more about this opportunity and to apply online, click ""apply for this position online"" below, or visit us at jobs.BAYADA.com. BAYADA Home Health Care, Inc. is an Equal Opportunity Employer and qualified applicants will not be discriminated against on the basis of race, color, religion, gender, national origin, disability or veteran status.  Sponsor-MZ",Part-Time,Not Specified
41324,RN,Dignity Health - St. Mary Medical Center Long Beach,Long Beach,California,"RN that takes care of Maternity Patients and Newborns. Patients with normal or complicated pregnancy and patients with gynecologic problems.One to two years of Antenatal and/or Labor & Delivery experience. BCLS, NRP, and current CA RN license required.ABOUT ST MARY MEDICAL CENTER St. Mary Medical Center has served the healthcare needs of Long Beach and its surrounding communities since 1923. The campus includes four medical office buildings, a health education center and a 302-bed nonprofit hospital with all private patient rooms. Located on 18-acres in the heart of Long Beach, just blocks from downtown, St. Mary is centrally located to serve the diverse needs of a busy and rapidly expanding metropolitan area. What makes St. Mary unique is its balance of leading edge technology, the most advanced techniques and compassionate care of body, mind and spirit. Because we are a leading innovator in healthcare, of course you have superb benefits. Employees who work a minimum of 40 hours per pay period receive a competitive salary and benefits for themselves and their families that start on the first day of the month following 30 days of employment.  Free health benefits for you and your family, whether you are full or part-time if you choose an HMO selection  Options within medical, dental, and vision plans  An Employee Assistance Plan for individual/or family member counseling  Other optional benefits such as universal life insurance, additional personal accident coverage, property casualty programs and alternative health discounts which include chiropractic, acupuncture and massage therapy, long-term care and prepaid legal assistance  Generous paid time off  Spending accounts (Health & Dependent Care)  Employee and dependent life insurance, AD&D, short-term and long-term disability  Continuing education reimbursement and paid education days  403(b) retirement savings with matching contribution  Pension plan  Other unbeatable benefits include fun employee activities, ride share program, discounts to local attractions, on site Credit Union, employee store, Cafeteria/Pharmacy discounts, and much, much more. We understand that our interdependence on every level is what makes this all work. The philosophy, traditions and values of the sponsors, the Sisters of Charity of the Incarnate Word, are always in mind. Every effort is focused on creating a positive and caring place, not just for our patients, but also for all of us who are working side by side. If you""re looking for a place where you can make a difference, St. Mary Medical Center is the hospital for you. ",Per Diem,Not Specified
78556,Independent Living Skills Trainer,Community Options,Oneonta,New York,"Community Options Inc. is seeking qualified, experienced, and highly motivated Part Time Independent Living Skills Trainers (ILST) to provide one-to-one training with individuals living with traumatic brain injuries in Oneonta, New York. 

The Independent Living Skills Trainer uses best practices and technology within a community based setting to teach people with Traumatic Brain Injury how to acquire the physical, intellectual, emotional and social skills needed to live as independently as possible. Work will take place in the homes of our clients. 


Responsibilities 




    Completes staff evaluations, functional assessments, Individual Service Reports.



     Maintains HCSS, Structured Day and ILST files.  
    Monitors and schedules required staff training's, seminars, and conferences. 
    Monitors fiscal, medical, personal and documentation to ensure accuracy. 
    Participates in Circle(s) of Support for personal future planning. 
    Monitors and reports health and medical needs of individuals. 
    Builds a support network between the individuals and community members. 
    Prepares progress reports for consumer's immediate support group, including their family and/or guardian, staff, employment specialist, case manager, and other professionals. 
    Ensures consistent service delivery that connects work, home and recreational needs. 
    Serves as an active member of each person's Treatment Team. 
    Submits monthly written reports to the appropriate individuals outlining operational status, progress, and concerns.

 ",Part-Time,Associate Degree
17877,Open House - Retail Sales – Management Opportunity!,"Sofa Mart, Oak Express, Bedroom Expressions and Furniture Row",Great Falls,Montana,"


OPEN HOUSE!&nbsp;

When: 3/6/15&nbsp;9:00AM - 6PM
Where: Furniture Row -&nbsp;1701 Market Pl Dr, Great Falls, MT 59404

Stop by our store in person on March 6th or click Apply Now to send your resume directly to a hiring manager to schedule an interview.&nbsp;



Retail Sales &ndash; Management Opportunity!


Furnishing You With Opportunity.
&nbsp;
Are you a highly motivated individual ready for a career change? Are you ready for an opportunity to grow, learn and develop professionally? Join our team at Sofa Mart &amp; Oak Express Company! We are currently seeking highly motivated individuals from all kinds of backgrounds to take advantage of our Entry Level Management Training Program. With over 35 years of success in the bedding industry, we equip professionals from a variety of backgrounds with the knowledge and expertise to become successful Retail Sales Managers. 
&nbsp;
Like our products, careers at Sofa Mart &amp; Oak Express are built to last. Our strong industry position creates a stable workplace where you can feel secure in your success. 
&nbsp;
Our successful Retail Managers have come from a variety of backgrounds in multiple industries including marketing, automotive, customer service, hospitality, industrial, administration, healthcare, insurance, human resources and medical care. We are a unique leader in the furniture industry, and we love our Associates and Managers who are diverse and have a unique variety of experience! Take a career leap, apply today!
&nbsp;




Entry Level Retail Sales Manager &ndash; Management Trainee &ndash; Retail Store Training &ndash; Entry Level &ndash; Customer Service &ndash; Hospitality &ndash; Administration

&nbsp;

&nbsp;
Benefits
&nbsp;
As an Entry Level Retail Sales Manager Trainee, we recognize your drive and ambition, and we want to help you advance on your desired career path. With us, you will have access to the training and resources you need to thrive at your new career. Sofa Mart &amp; Oak Express gives you the keys to succeed as a Retail Sales Manager! 
We recognize that you dedicate time and effort to your job, and we want you to have the resources to keep achieving.&nbsp; Here are some of the benefits our Trainees enjoy! 
&nbsp;

    Competitive Pay plus commission
    Medical and Dental benefits
    Paid Vacation
    401(k) retirement savings plan
    Additional cash rewards

&nbsp;




Entry Level Retail Sales Manager &ndash; Entry Level Trainee &ndash; Customer Service &ndash; Hospitality &ndash; Administration

&nbsp;

&nbsp;
Job Responsibilities
&nbsp;
As an Entry Level Retail Sales Manager Trainee, you will be selling our unique array of furniture and accessories. You will receive hands on training in sales, marketing and business development techniques. You will shadow Store Managers, learning all of the aspects of retail and people management. Our program hinges on understanding, mastering and being able to lead your own team successfully. 
&nbsp;
Other responsibilities of the Management Trainee position include:
&nbsp;

    Greeting and assisting customers ascertaining their wants and needs
    Answering customer questions and inquiries regarding products and services
    Seeking out information and knowledge regarding new products
    Setting and achieving personal goals
    Presenting pricing, preparing contracts and processing transactions in POS 
    Placing orders and locating stock
    Maintaining knowledge of current promotions and policies regarding payment, exchanges and store security
    Participating in merchandising and product displays

&nbsp;",Full-Time/Part-Time,Not Specified
46672,WELDING INSTRUCTOR,AVIATION INSTITUTE OF MAINTENANCE - Atlanta,Duluth,Georgia,"
WELDING INSTRUCTOR


Aviation Institute of Maintenance - Duluth, GA
(Private, For-profit Aviation School)


&nbsp;

Since the purchase of our first aviation school in 1994,&nbsp;Aviation Institute of Maintenance (AIM)&nbsp;has grown into the largest group of aviation maintenance technician career schools in the nation, that are approved by the Federal Aviation Administration (FAA). We currently have eleven&nbsp;campuses in nine states from coast to coast which include California, Nevada, Texas, Missouri, Indiana, Florida, Georgia, Pennsylvania and finally Virginia where our corporate offices are also located.


At&nbsp;AIM&nbsp;we are always looking for qualified and experienced individuals to pass along their skills at our campuses to the future workforce in the aviation maintenance industry.&nbsp;We currently have an opening for a full-time and/or part-time&nbsp;Welding Instructor&nbsp;in&nbsp;Atlanta (Duluth), GA&nbsp;to help teach a growing student body. This position is a perfect opportunity for experienced Welders looking to take the next step&nbsp;on their&nbsp;education career path. We need individuals who are passionate about Welding and want to share their expertise in an Aviation Maintenance Technology program at an FAA (Part 147) A&amp;P school. Classes are held Monday-Thursday in classroom, lab and hangar settings. &nbsp;

Among the qualifications that we are looking for in an ideal candidate are:



&nbsp;
",Full-Time/Part-Time,Not Specified
62460,Associate Manager,"Tumi, Inc",Orlando,Florida,"




Overview:




Since 1975, TUMI has been creating world-class business and travel essentials, designed to upgrade, uncomplicate, and beautify all aspects of life on the move. Blending flawless functionality with a spirit of ingenuity, we’re committed to empowering journeys as a lifelong partner to movers and makers in pursuit of their passions. Designed in America, for Global Citizens everywhere. The brand is sold in over 260 stores from New York to Paris to London and Tokyo, as well as the world’s top department and specialty stores and travel retail in more than 75 countries. 








Responsibilities:




Manages and coordinates the daily activities of the sales staff engaged in promoting and selling products to ensure customer satisfaction.Maximizes sales by enhancing our brand image in the market and ensuring a consistent superior customer experience.Develops new customer relationships and interacts with existing customers to increase sales.Attains monthly sales, conversion and other KPI goals.",Part-Time,Not Specified
33210,Retail Merchandising Specialist,SAS Retail Services,Gillette,Wyoming,"
*SAS Retail*
provides national retail merchandising services to a host of fortune 500 CPG
companies, distributors, and wholesalers, within the grocery, mass,
home/hardware, and drug channels.

&nbsp;

We are
currently looking for *PT Merchandisers* that will be responsible for servicing
stores, re-merchandising products, and performing other miscellaneous
merchandising activities. 

&nbsp;

As a
*Merchandiser,* you are responsible for conducting resets &amp; surveys,
tagging &amp; placement of new items, displaying signage &amp; assembly of
products, processing product recalls, managing deliveries, and capturing &amp;
submitting reports at a store level. 

&nbsp;

*Work hours
are day shift and can vary from 10 hrs week up to 30 hrs week.&nbsp; Pay starts at 11.00 hr*

&nbsp;

Related
merchandising or retail experience is preferred, but not required.&nbsp; 

&nbsp;

The position
works either in a team environment, or independently based upon the project.
Primary job functions require exercising independent judgment. 

&nbsp;

*Desired
Qualification:*

- Prior POG
and Merchandising experience. 

- Prior
Reset and Plan-o-gram experience.

- Have
reliable transportation and can arrive to work on time.

- Are able
to work in a team environment and take directions from others.

- Stand,
bend, or stoop for entire shift.

- Stock
and/or reposition merchandise.

&nbsp;
",Part-Time,Not Specified
63154,Contract to Hire Opportunity for a Entry Level Accountant!,Accountemps,Los Angeles,California,"Ref ID:00321-010766Classification:BookkeeperCompensation:$14.25 to $16.50 per hourOur client, an innovative Trade Show Management company in Santa Monica is seeking an Entry Level Accountant for a Contract to Hire Role. In this Entry Level Accountant role, duties will include: Payables Generating Reports Ad hoc Projects Qualifications: B.A. or B.S. in Accounting/Finance Intermediate Excel Minimum of 2-3 years of experience Must show ability to analyze data ERP system familiarity This position pays between $14-16 hourly while a temporary. Please send your resume to [Click Here to Email Your Resumé] if you feel you are a right fit for our client.",Seasonal/Temp,Not Specified
72039,EMI Trusted Advisor 106 Englewood,Club Demonstration Services,Englewood,Florida,"

EMI Trusted Advisor 106 Englewood

Elite Marketing Interactions is the exclusive in-store sampling and consumer experience event provider for MEIJER Supermarkets. We prepare and sample different products to Meijer customers every week. We are looking for creative, energetic, outgoing, social, assertive new team members. As part of the Elite Marketing Interactions team, you will introduce shoppers to an assortment of fine foods and retail product during our pre-scheduled events within MEIJER Supermarkets. 

As a Trusted Sales Advisor, you will prepare products and/or recipes using professional equipment and present the product samples to shoppers, telling them about the benefits of each product, answering questions about the item, distributing coupons or recipes, and encouraging them to buy the product.",Part-Time,Not Specified
1910,Certified Nursing Assistant - CNA,BAYADA HOME HEALTH CARE,Newtown,Pennsylvania,"Do you enjoy working one-on-one with home bound clients?  If so, help us make a difference in someone’s life, join us today.  BAYADA Home Health Care has an immediate need for a Certified Nursing Assistant - CNA to care for our clients. 

We have current job openings in the following locations:
• New Hope, PA
• Doylestown, PA
• Warminster, PA
• Willow Grove, PA
• Glenside, PA
• Lansdale, PA
• Hatfield, PA
• Souderton, PA

Qualifications for CNA:  
• Minimum one year work experience  
• Certificate of at least 75 hours of Certified Nursing Assistant - CNA training   
• Current CNA license listed in good standing with the board

Job Responsibilities:
• Activities of daily living  
• Light housekeeping  
• Bathing  
• Dressing  
• Grooming  
• Toileting  
• Nail care  
• Range of motion / exercises  
• Transfers / use of mechanical lifting devices  
• Oral feeding  
• Vital sign checks: temperature, pulse, respiration  
• Home Management Tasks: laundry, meal preparation, bed making etc.  
• Assisting with ambulation  
• Medication assistance  

BAYADA offers:
• Weekly pay
• Flexible scheduling to fit your lifestyle 
• Short commute times – we try to match you to opportunities near your home  
• Positive work environment and the tools you need to do your job 
• Scholarship programs
• A stable working environment – we invest in our care team   
• Paid time off
• 24 / 7 on call clinical manager support

Founded in 1975 by J. Mark Baiada, BAYADA Home Health Care provides nursing, rehabilitative, therapeutic, hospice, and assistive care services to children, adults, and seniors in the comfort of their homes. Headquartered in suburban Philadelphia, BAYADA employs more than 18,000 nurses, home health aides, therapists, medical social workers, and other home health care professionals who serve their communities in 25 states from more than 250 offices. For more information, visit www.bayada.com. BAYADA Home Health Care, Inc. is an Equal Opportunity Employer and qualified applicants will not be discriminated against on the basis of race, color, religion, sex, national origin, disability, or veteran status. ",Part-Time,Not Specified
29923,Registered Nurse (RN)/ Licensed Practical Nurse (LPN)/ Pediatric Home Care,Pediatria Healthcare for Kids,Harrisburg,Pennsylvania,"Pediatria Healthcare for Kids



Pediatric In-Home Registered Nurse (RN)/ Licensed Practical Nurse (LPN)



Job Description

Pediatria Healthcare for Kids, an innovative provider of healthcare services and private duty in-home nursing, is looking for dedicated Registered Nurses or Licensed Practical Nurses to join our nursing team. As a Registered Nurse/Licensed Practical Nurse with our team you will provide direct patient healthcare to children with complex medical problems, in their home setting. Our dedicated nursing team is focused on delivering clinical services that promote the ultimate level of wellness for children while educating and strengthening the entire family. If you are passionate about caring for children and working with a group that is committed to providing quality healthcare as a caring part of our community, this is the right opportunity for you!




Registered Nurse (RN)/ Licensed Practical Nurse (LPN) / Healthcare Pediatric In-Home Registered Nursing


Job Responsibilities

Our Pediatric In-Home Registered Nurses/Licensed Practical Nurses are responsible for assessing patient health problems and needs, developing and implementing nursing care plans and maintaining medical records.

Additional responsibilities of this role include:

•            Performing observations and assessments of patient condition and needs

•            Documenting all patient care actions

•            Monitoring and interpreting vital signs

•            Assisting with the development of a patient care plans

•            Collaborating in the identification of patient needs and/or problems

•            Educating caregivers with information to assist with the care of the patient


Registered Nurse (RN)/ Licensed Practical Nurse (LPN) / Healthcare Pediatric In-Home Registered Nursing


",Part-Time,Not Specified
65017,Home Health Occupational Therapist - Per Diem,Humana,Pasadena,Texas,"
Home Health Occupational Therapist - Per Diem
Home Health Occupational Therapist - Per Diem

Humana at Home - Inteli Health is seeking Per Diem Occupational Therapists in the Houston, TX area who will collaborate with other health care givers. The Occupational Therapist is responsible for the implementation of standards of care for occupational therapy services.

Job Responsibilities


    Evaluates patient’s functional status (muscle function, endurance, visual coordination, written and verbal communication skills, self-care ability, work capacity, etc.). Evaluates home environment for hazards or barriers to more independent living. Identifies equipment needs. Participates in the development of the total plan of care.
    
    Provide occupational therapy services as prescribed by a physician, physician assistant, or advanced registered nurse practitioner, acting within their scope of practice, which can be safely provided in the home and to assist the physician, physician assistant or advanced registered nurse practitioner in evaluating the patient’s level of function by applying diagnostic and therapeutic procedures.
    
    For patients who plan to return to work, the occupational therapist may perform work capacity evaluation and may refer to specialized vocational training in accordance with Organization policy.
    
    Develops treatment program and establishes goals for improved function. Communicates plan of care to referring physician and other Organization professionals.
    
    May teach new skills or retrain patient in once familiar daily activities that have been lost due to illness or injury, in accordance with Organization policy.
    
    Guides the patient in the use of therapeutic, creative and self-care activities for the purpose of improving function; may fabricate splints and instruct patient in the use of various types of adaptive equipment to improve function.
    
    May train patient in the use of prosthetic and/or orthotic devices.
    
    Observes and records findings and activities and maintains appropriate clinical records, clinical notes, and reports to the physician, physician assistant or advanced registered nurse practitioner the patient’s reaction to treatment and any changes in the patient’s condition, or when there are deviations from the plan of care. Submits these records in accordance with Organization policy.
    
    Maintains contact/communication with other personnel involved in the patient’s care to promote coordinated, efficient care.
    
    Instructs the patient, caregivers, and other members of the health care team, when appropriate, in therapeutic procedures of occupational therapy.
    
    Attends and contributes to in-services, case conferences, and other meetings as required by Organization policy to ensure coordinated and comprehensive plans of care for the patients of the Organization.
    
    Identifies patient and family/caregiver needs for other home health services and refers as appropriate.
    
    Instructs patient’s family/caregiver and other Organization health care personnel in patient’s treatment regime when indicated and appropriate.
    
    Supervises certified occupational therapy assistants according to organization policy and state regulations.
    
    When therapy is the only skilled service, instructs, supervises and evaluates home health aide care every two (2) weeks.
    
    Participates in discharge planning for patient.
    
",Per Diem,Master's Degree
16249,"Now Hiring Data Entry/ Mail Clerks in Louisville, KY",Manpower,Louisville,Kentucky,"You can see it: you&rsquo;re working in a position where you&rsquo;re empowered to learn procedures quickly and be a self-starter while working in a strong team-oriented environment for a leading global financial services firm.
&nbsp;
Manpower is hiring for Data Entry / Mail Clerks to work seasonal jobs multiple times a year. Each assignment can last anywhere from 2 weeks to 4 weeks. The assignments take place in April, June, September, October, and January. 
&nbsp;
Pay rates: $9.50/hour for 1st shift, 2nd shift is $10/hour and the 3rd shift is $10.50/hr (bonus dependent on KSPH)
Hours: 1st (8:00am &ndash; 4:30pm), 2nd (4:00pm- 12:00pm) and 3rd (12:00pm&ndash; 8am) 
&nbsp;
All roles require a positive attitude, good organizational skills and candidates must be able to work in a production driven environment.&nbsp; Job duties include filing, sorting and opening mail, data entry and verification.

**NOTE: All candidates will be required to submit to an IRS fingerprint and credit check**",Seasonal/Temp,High School Diploma
49400,Office/Facilities Manager,OfficeTeam,Tucson,Arizona,"Ref ID: 00220-9737790Classification: Office/Admin Supervisor/MgrCompensation: DOEOfficeTeam specializes in placing highly qualified Administrative Professionals on a temporary and temp to hire basis. If you are an Office/Facilities Manager looking for a new opportunity, let OfficeTeam be a resource for you in your job search. The Office/Facilities Manager coordinates various office support services, including purchasing and facilities management. Duties of the Office/Facilities Manager may include selecting office vendors and supervising purchasing processes, directing mailroom and maintenance staff, and coordinating regular building safety checks and ergonomics training for staff.",Seasonal/Temp,Not Specified
14957,Staff Accountant,Accountemps,Appleton,Wisconsin,"Ref ID:04630-9731232Classification:Accountant - StaffCompensation:$13.00 to $15.00 per hourAccoutemps is currently looking for a Staff accountant with a well respected manufacturing company in Green Bay. The Staff Accountant will be responsible for matching invoices to purchase orders and/or vouchers, data entry and assisting in the process of Accounts Payable (A/P) and Accounts Receivable (A/R). This fast paced environment offers a great work space/office and excellent benefits. This position will report to the Accounting Manager.",Seasonal/Temp,Not Specified
45804,Accounting Assistant Needed for Cutting-Edge Marketing Firm,Accountemps,Indianapolis,Indiana,"Ref ID:01430-9737256Classification:Accounting ClerkCompensation:$13.75 to $15.75 per hourAn innovative marketing company in Carmel, Indiana has an immediate need for an accounting assistant to join their growing team. The company has an established reputation with some client relationships going back 30+ years. This is a temporary opportunity with the potential for hire based on performance. Responsibilities include: - Creating invoices - Data entry - Creating sales reports - Cash applications and deposit preparation - Monitoring accounts receivable aging - Daily processing of accounts receivable - Assist in preparation of month-end closing - Front desk coverage when needed Interested candidates, please submit resume to [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
49530,"Certified Nursing Assistant - Acute Rehabilitation, .5 FTE, Day Shift",Swedish Health,Olympia,Washington,"Providence is calling a Certified Nursing Assistant (CNA) to the Acute Rehabilitation Unit at Providence St. Peter Hospital in Olympia, WA. 
We are seeking a compassionate and caring individual to provide safe and reliable routine daily care to patients admitted to the hospital. 
 
This is a .5 FTE (20 hours per week), dayshift position.
 
In this position you will: 

Act as an advocate for patients in maintaining choice, independence, privacy, dignity and security. 
Provide appropriate patient care as directed by the licensed nurse. 
Assist in providing care and implementing delegated activities of the nursing plan.",Part-Time,High School Diploma
2605,"Nabisco Part Time Merchandiser- Durango, CO 088",Mondelez International-Sales,Durango,Colorado,"Mondelēz International is a whole new company that has been reimagined with a single focus in mind: create delicious moments of joy by sharing the world’s favorite brands. Launched on Oct. 1, 2012, and employing around 100,000 people around the world, Mondelēz International comprises the global snacking and food brands of the former Kraft Foods Inc.  While Mondelēz International is new, our brands are as diverse and rich with heritage as the 170 countries in which our products are marketed. As the world’s pre-eminent maker of snacks, Mondelēz International has leading shares in every category and every region of the world in which it competes. The company holds the No. 1 position globally in Biscuits, Chocolate, Candy and Powdered Beverages as well as the No. 2 position in Gum and Coffee.  Mondelēz International’s portfolio includes several billion-dollar brands such as Nabisco, Oreo and LU biscuits, Cadbury and Milka chocolate, Jacobs coffee, Tang powdered beverages and Trident gums. Mondelēz International has annual revenue of approximately $36 billion and operations in more than 80 countries. For more information, visit www.mondelezinternational.com and www.facebook.com/mondelezinternational.   Primary Role:  The Mondelēz Global Sales Service Representative role is designed to build a world class Direct Store Delivery (DSD) business at the retail level by fulfilling the merchandising needs of the customer. The Representative is responsible primarily, though not exclusively, for merchandising Nabisco brands.  Areas of focus will include full shelf conditions, neatly merchandised displays and shelves, building display point of sale in all areas of store, properly rotated product, and accurate price tags / point of sale in all departments. A major objective of this role is to establish and maintain rapport with key store individuals while providing outstanding customer service. This role will be responsible for maintaining a timely and accurate call schedule. Further, this role will be responsible for identifying and communicating individual store problems and opportunities to the appropriate Mondelēz Global personnel.",Part-Time,Not Specified
71233,Project Manager,OfficeTeam,Columbia,Maryland,"Ref ID: 04400-121941Classification: Secretary/Admin AsstCompensation: DOEOfficeTeam is looking for a long term temporary Project Manager for a technology company on the Eastside. This individual will be the main point of contact for ongoing projects. Duties include but are not limited to the following Escalates visibility to issues; offers solutions and drives issues to resolution. Interfaces with project team members including internal staff in various offices and teams, third-party organizations, and the client, often dispersed geographically. Develops rapport and maintains collaborative relationships with primary client contacts. Supports the development of team members professionally and technically. Effectively manages multiple projects simultaneously. Provides direction to assigned project team members and collaborates with peers to prioritize competing commitments among shared resources. Maintains project data in resourcing, financial, and data management systems as required. Supports business development (scoping and project estimating) efforts as required",Seasonal/Temp,Not Specified
70918,PT - Leasing Specialist,Balfour Beatty Investments,Saratoga Springs,New York,"The Leasing Specialist acts as a window into our company, introducing new and prospective residents to our housing community and assisting them throughout the leasing process. Because of this, a Leasing Specialist must exude a positive attitude and demonstrate exceptional customer service skills.Assisting with all activities relating to leasing efforts:* Answers phones courteously and promptly to assist current residents with their needs and follows up to ensure work orders completed by the maintenance staff meet the resident's satisfaction.* Prepares and organizes leasing paperwork* Conducts Site Tours* Clears out recently vacated units and completes checklist to meet cleaning standards* Conducts home pre-move in inspections to ensure all units are rent ready.* Consistently inspects property including grounds and the exterior and interior of homes and communicates deficiencies found to the facilities maintenance team. * Assists in Marketing efforts for the property* Schedules Appointments* Communicates effectively with residents: in-person, by phone, through written correspondence by email and through web correspondence when needed on our social media sites* Monitors and maintains wait list for available units and contacts residents when units become available in accordance with wait list policies and procedures* Encourages resident retention and strengthening of community life through LifeWorks Events, which includes planning and participating in all resident eventsHigh School Diploma required plus experience in an administrative/office role including the ability to operate all office equipmentMinimum of one year experience in commissions sales or leasing with strong track record of a high closing ratioResidential/Multifamily leasing experience a PLUSMust demonstrate ability to provide exceptional customer serviceMust be resourceful and well organizedExperience in outreach marketing or advertising preferredExpert in using social media (Facebook, Twitter etc) requiredStrong Interpersonal skill: get along with diverse personalities; tactful and matureEffective communication and organizational skillsProficiency with Microsoft Office a MUSTKnowledge of property management operating software a plusValid state issued Driver's License and safe driving recordBalfour Beatty Investments is proud to offer challenging and rewarding work in a variety of functional areas. As a company, we operate with safety and sustainability as our primary focus. Equally integral components of our culture are our values-Integrity, Teamwork, Excellence, Respect-and our code of conduct. Living up to these commitments requires the fresh ideas, insights and talents of employees as diverse as the audiences we interact with every day.We recruit across a number of core capabilities including business development, project finance, legal and commercial and accounting. The success of our company is built on the efforts of our employees. We are committed to offering our employees a path to professional success through development, training and mentoring opportunities that cover a wide variety of skills and functional areas.At Balfour Beatty Investments, our employees are our greatest asset and their well-being means a healthier, more productive workplace. We offer a comprehensive benefits package that includes a variety of health care options, retirement benefits and other flexible benefits.With experience spanning conventional apartment communities, affordable housing, distressed properties, and new construction lease-ups, Balfour Beatty Communities (a division of Balfour Beatty Investments) is a trusted partner in the area of multifamily property management.We manage a diverse residential multifamily portfolio and maintain an extensive network of contractors and vendors to support these operations. Our team is among the best in the business, with many years of experience managing all aspects of multifamily operations, from marketing and leasing to collections, human resources, and facilities maintenance.As experts in multifamily real estate, our customized solutions extend well beyond traditional property management to include asset management, due diligence, utilities management, risk management, environmental programs and much more.",Part-Time,High School Diploma
